# apricorn pin table: ARM9 static main (RAM image after crt0 decompression)
#
# ROM: HeartGold (US) retail, SHA-1 4fcded0e2713dc03929845de631d0932ea2b5a37
# ARM9 image: 0x02000000..0x02111EF8 (decompressed size 0x111EF8),
#   SHA-1 ad8d4da6bb5c010844dae8260212c86beef565fc
#
# Columns (tab-separated): name, mode, address, size, prologue-sha1, discovered-by
#   mode: arm | thumb | data
#   prologue-sha1: SHA-1 over the first min(16, size) bytes at the address
#     (arm/thumb pins always use 16 bytes; a hash of zero bytes marks a .bss
#     pin whose address lies beyond the image end — the loader zeroes it).
#   discovered-by: how the pin was located (literal-pool scan of a known
#     constant, or a cross-reference in pret's labeled lib/asm/nitro.s).
#
# The math_util functions were found by scanning for the LCG multiplier
# 0x41C64E6D / MT multiplier 0x6C078965 / tempering and XOR constants and
# decoding the surrounding Thumb code; the SDK MATH_* functions carry real
# addresses in pret's `lib/asm/nitro.s` and were matched by prologue.
PokeathlonSave_sizeof	thumb	0x02031904	6	70db8c891b654fcf99a65195be526e727c3bb24f	gSaveChunkHeaders @ 0x020F64C4 (42-record id/block/fn-ptr scan)
Save_ApricornBox_sizeof	thumb	0x02031B0C	4	d244bd99f455e6ce6e721ee79f894633fff61dcd	gSaveChunkHeaders @ 0x020F64C4 (42-record id/block/fn-ptr scan)
Pokewalker_sizeof	thumb	0x020325F8	6	74b25c2f118df76b5ac0bb8c12497bd587cb32d2	gSaveChunkHeaders @ 0x020F64C4 (42-record id/block/fn-ptr scan)
Save_TrainerHouse_sizeof	thumb	0x02032774	6	b5492eb5c86804276ea442bdfd26ba441b311e10	gSaveChunkHeaders @ 0x020F64C4 (42-record id/block/fn-ptr scan)
PCStorage_sizeof	thumb	0x02073B20	4	6da95296d55293b69c073f02deba49094adc9f4f	gSaveChunkHeaders @ 0x020F64C4 (42-record id/block/fn-ptr scan)
Save_HOF_sizeof	thumb	0x0202E0DC	4	cbc0cd5d58f6bbbd8f9bf910451b7e1c92276e07	gExtraSaveChunkHeaders @ 0x020F6464 (6-record id/sector/fn-ptr scan)
sub_020312A4	thumb	0x020312A4	6	caa961e6e890a4befd0b3de25dd3e2832a6474ff	gExtraSaveChunkHeaders @ 0x020F6464 (6-record id/sector/fn-ptr scan)
sub_0202FBCC	thumb	0x0202FBCC	4	95759c3ae4495c8193b0486db892f248c8848327	gExtraSaveChunkHeaders @ 0x020F6464 (6-record id/sector/fn-ptr scan)
gSaveChunkHeaders	data	0x020F64C4	672	4f42e7009212aa46b57ab5463f144fefab7696e3	record scan: 42 x {int id 0..41, u32 block, thumb fn ptrs}
gExtraSaveChunkHeaders	data	0x020F6464	96	fad6e7e8bd725a3e44ec3e16489e1195663393b0	record scan: 6 x {int id 0..5, u32 sector 35/38/39/41/43/45, thumb fn ptrs}

# Field data (Phase 5) - see docs/field-data.md. The map header table was
# located by encoding map 64's record from pret src/data/map_headers.h
# (constants resolved) and scanning the image for those 24 bytes: one hit,
# in slot 64 of a 540-record table; neighbours decode to pret's records.

sMapHeaders	data	0x020F6BE0	12960	26ea13ffdda304dde0159e3eda1fccf7eeac66b1	record scan: map 64's 24-byte record @ 0x020F71E0 (540 x 24 B)
